"","gene_name"
"1","A230004M16Rik"
"2","A330033J07Rik"
"3","A330093E20Rik"
"4","A530072M11Rik"
"5","A830082K12Rik"
"6","Abca1"
"7","Abi1"
"8","Abr"
"9","Acer3"
"10","Acsl3"
"11","Actb"
"12","Actg1"
"13","Actr2"
"14","Acvr1b"
"15","Acvr2a"
"16","Adam10"
"17","Adam12"
"18","Adam22"
"19","Adam23"
"20","Adamts3"
"21","Adarb2"
"22","Adcy1"
"23","Add2"
"24","Adgrb3"
"25","Adgrl1"
"26","Adgrl2"
"27","Adgrl3"
"28","Adgrv1"
"29","Adnp"
"30","Aff4"
"31","Aftph"
"32","Agap1"
"33","Agap2"
"34","Agap3"
"35","Agbl4"
"36","Agfg1"
"37","Agmo"
"38","Agrn"
"39","Ahdc1"
"40","Akap1"
"41","Akap11"
"42","Akap6"
"43","Akt3"
"44","Alcam"
"45","Alg11"
"46","Amer2"
"47","Angpt1"
"48","Ank2"
"49","Ank3"
"50","Ankrd12"
"51","Anks1b"
"52","Anp32a"
"53","Antxr1"
"54","Apba1"
"55","Apc"
"56","Apc2"
"57","Aplp1"
"58","Aplp2"
"59","App"
"60","Araf"
"61","Arel1"
"62","Arf1"
"63","Arfgef3"
"64","Arhgap12"
"65","Arhgap15"
"66","Arhgap21"
"67","Arhgap32"
"68","Arhgap44"
"69","Arhgef10l"
"70","Arhgef26"
"71","Arhgef7"
"72","Arid1a"
"73","Arid1b"
"74","Arid2"
"75","Arid4b"
"76","Arl6ip6"
"77","Arl8a"
"78","Arl8b"
"79","Armcx2"
"80","Arnt2"
"81","Arpp19"
"82","Asap2"
"83","Asic2"
"84","Asic4"
"85","Astn1"
"86","Atad1"
"87","Atf2"
"88","Atg7"
"89","Atl2"
"90","Atp1b1"
"91","Atp2a2"
"92","Atp2b1"
"93","Atp2b2"
"94","Atp2c1"
"95","Atp6ap2"
"96","Atp8a1"
"97","Atrn"
"98","Atrnl1"
"99","Atrx"
"100","Atxn1"
"101","Atxn2"
"102","Auts2"
"103","Axin1"
"104","Axin2"
"105","Azin1"
"106","B4galt6"
"107","Bach2"
"108","Basp1"
"109","Baz2b"
"110","Bcl11a"
"111","Bcor"
"112","Bhlhe41"
"113","Bicc1"
"114","Birc6"
"115","Blcap"
"116","Bmper"
"117","Bmt2"
"118","Bmx"
"119","Brd1"
"120","Brip1os"
"121","Bsn"
"122","Btaf1"
"123","Btg1"
"124","C030007H22Rik"
"125","C030034L19Rik"
"126","C330007P06Rik"
"127","Cables1"
"128","Cacna1d"
"129","Cacna2d1"
"130","Cadm1"
"131","Cadm2"
"132","Cadm3"
"133","Cadps2"
"134","Calm1"
"135","Calm2"
"136","Calm3"
"137","Camk1d"
"138","Camk2b"
"139","Camk2d"
"140","Camk2n2"
"141","Camk4"
"142","Camkmt"
"143","Camsap2"
"144","Camta1"
"145","Caprin1"
"146","Capza2"
"147","Car10"
"148","Carmil1"
"149","Cask"
"150","Cbfb"
"151","Cbx3"
"152","Ccdc12"
"153","Ccdc88a"
"154","Ccdc90b"
"155","Cd200"
"156","Cd24a"
"157","Cd81"
"158","Cd9"
"159","Cdc42bpa"
"160","Cdh11"
"161","Cdh13"
"162","Cdh18"
"163","Cdh2"
"164","Cdh20"
"165","Cdh23"
"166","Cdh8"
"167","Cdk14"
"168","Cdk5r1"
"169","Cdk8"
"170","Cdkn1b"
"171","Cds2"
"172","Celf2"
"173","Celf4"
"174","Celsr2"
"175","Cemip"
"176","Cenpi"
