"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"1145","ENSMUSG00000010914",1.05261013527269,5.69868093011596,14.5012196616164,3.33328761237854e-10,1.12144474746802e-06,13.8214730053928,"Pdhx"
"7886","ENSMUSG00000033768",-2.45816010406907,8.63935164834595,-14.3648106625169,3.80449764795884e-10,1.12144474746802e-06,13.6966179448121,"Nrxn2"
"10942","ENSMUSG00000045039",-2.10122823043825,6.90257499117166,-14.3483002669619,3.86616208044595e-10,1.12144474746802e-06,13.6626834203973,"Megf8"
"14337","ENSMUSG00000074872",2.83106520650146,3.31725566650789,15.1259780715346,1.84407818526575e-10,1.12144474746802e-06,14.2450069343359,"Ctxn2"
"14702","ENSMUSG00000080875",8.47218400643459,-3.62584062010421,14.932563503499,2.20981128943872e-10,1.12144474746802e-06,9.6646474851534,"Gm7332"
"15452","ENSMUSG00000094103",11.8783041761207,-2.94574561002929,15.8485336368617,9.54801245852207e-11,1.12144474746802e-06,10.2767774820818,"Fam177a2"
"170","ENSMUSG00000001227",-2.30373213115234,5.97298611302135,-12.3072097412329,3.22846423288386e-09,1.5147743109844e-06,11.5662832122318,"Sema6b"
"177","ENSMUSG00000001270",-1.86128773036861,8.7405336339109,-12.5260167671758,2.53646548071742e-09,1.5147743109844e-06,11.8086376134556,"Ckb"
"436","ENSMUSG00000002985",-1.47743641448861,9.46237809729353,-12.6796719400348,2.14569868307153e-09,1.5147743109844e-06,11.9766349339407,"Apoe"
"1184","ENSMUSG00000012483",3.117470859235,3.3072055114893,12.0494569354183,4.30939557586245e-09,1.5147743109844e-06,11.2803511305478,"Rpa3"
"1197","ENSMUSG00000013236",-1.76574533512928,8.92137906780995,-12.4585257553886,2.73136836038148e-09,1.5147743109844e-06,11.7340380936808,"Ptprs"
"1955","ENSMUSG00000020098",1.88911708214914,3.34185564735596,13.0086792882805,1.50816341974405e-09,1.5147743109844e-06,12.2707872699081,"Pcbd1"
"1979","ENSMUSG00000020135",-2.42170846850713,8.4805879729735,-13.2347387379251,1.18886060700879e-09,1.5147743109844e-06,12.5682606086887,"Apc2"
"2026","ENSMUSG00000020238",-2.34336623746753,5.72149973865327,-13.5554851811764,8.53281947611192e-10,1.5147743109844e-06,12.8178231225494,"Ncln"
"2712","ENSMUSG00000021596",1.51907199384405,4.25483198950903,12.2394008451036,3.48159714292307e-09,1.5147743109844e-06,11.5009550374206,"Mctp1"
"3915","ENSMUSG00000024736",-2.492178440575,7.69787627347268,-13.5397798692093,8.67115640209214e-10,1.5147743109844e-06,12.8807778565123,"Tmem132a"
